monitoring_location_id,organization_id,organization_name,provider,monitoring_location_name,monitoring_location_type,huc8,latitude,longitude,horizontal_datum,country_code,state_code,county_code,drainage_area_value,drainage_area_unit,source_file
21NMEX_WQX-31Jarami006.0,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jaramillo Creek abv road VC 02 - 31Jarami006.0,River/Stream Perennial,13020202,35.8907500000,-106.4958900000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR034.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez R at Village of San Ysidro - 31JemezR034.2,River/Stream Perennial,13020202,35.5543800000,-106.7735700000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR046.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,"JEMEZ RIVER NEAR CANON, BELOW MUNICIPAL SCHOOL - 31JemezR046.6",River/Stream,13020202,35.6538890000,-106.7369440000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR048.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez River below Rio Guadalupe - 31JemezR048.7,River/Stream,13020202,35.6686200000,-106.7433900000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR049.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez River above Rio Guadalupe - 31JemezR049.2,River/Stream,13020202,35.6702600000,-106.7434200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR057.4,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez R. blw Jemez Spr. WWTP - 31JemezR057.4,River/Stream,13020202,35.7293983658,-106.7145378556,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR058.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez R. abv. Jemez Springs WWTP - 31JemezR058.6,River/Stream,13020202,35.7394900000,-106.7127800000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31JemezR064.9,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Jemez River above Soda Dam - 31JemezR064.9,River/Stream,13020202,35.7921200000,-106.6862500000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31LaJara005.0,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,La Jara above headquarters (VCNP 15) - 31LaJara005.0,River/Stream,13020202,35.8647000000,-106.5189000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RCebol000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Cebolla above the Rio de las Vacas - 31RCebol000.1,River/Stream,13020202,35.8195500000,-106.7880200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RCebol007.0,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Cebolla at Lake Fork Canyon- 31RCebol007.0,River/Stream,13020202,35.8588440000,-106.7579222000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RCebol009.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Cebolla at Hal Baxter Trail - 31RCebol009.6,River/Stream Perennial,13020202,35.8758770000,-106.7414720000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RCebol011.4,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Cebolla ~0.5 mile above Fenton Lake - 31RCebol011.4,River/Stream,13020202,35.8917500000,-106.7192000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RCebol017.9,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Cebolla at campground abv Seven Springs hatchery - 31RCebol017.9,River/Stream,13020202,35.9344100000,-106.6845100000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RGuada000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Guadalupe above Jemez River - 31RGuada000.1,River/Stream,13020202,35.6706000000,-106.7438000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RGuada010.0,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Guadalupe at Deer Creek Landing - 31RGuada010.0,River/Stream,13020202,35.7453500000,-106.7770600000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
